"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0100200","rifin","IDA","PMID:25751816","N/A","PF3D7_0100200.1"
"PF3D7_0100400","rifin","IDA","PMID:25751816","N/A","PF3D7_0100400.1"
"PF3D7_0100600","rifin","IDA","PMID:10430943","N/A","PF3D7_0100600.1"
"PF3D7_0100800","rifin","IDA","PMID:25751816","N/A","PF3D7_0100800.1"
"PF3D7_0100900","rifin","IDA","PMID:25751816","N/A","PF3D7_0100900.1"
"PF3D7_0101000","rifin","IDA","PMID:25751816","N/A","PF3D7_0101000.1"
"PF3D7_0101600","rifin","IDA","PMID:25751816","N/A","PF3D7_0101600.1"
"PF3D7_0101800","stevor","N/A","N/A","N/A","PF3D7_0101800.1"
"PF3D7_0101900","rifin","IDA","PMID:10430943","N/A","PF3D7_0101900.1"
"PF3D7_0102100","stevor, pseudogene","ISM","N/A","InterPro:IPR006374","PF3D7_0102100.1"
"PF3D7_0114600","stevor, pseudogene","ISM","N/A","Pfam:PF17410","PF3D7_0114600.1"
"PF3D7_0114700","rifin","IDA","PMID:10430943","N/A","PF3D7_0114700.1"
"PF3D7_0115200","rifin","IDA","PMID:25751816","N/A","PF3D7_0115200.1"
"PF3D7_0115300","rifin","IDA","PMID:10430943","N/A","PF3D7_0115300.1"
"PF3D7_0115400","stevor","N/A","N/A","N/A","PF3D7_0115400.1"
"PF3D7_0115600","rifin","IDA","PMID:25751816","N/A","PF3D7_0115600.1"
"PF3D7_0200200","rifin","IDA","PMID:25751816","N/A","PF3D7_0200200.1"
"PF3D7_0200400","stevor","N/A","N/A","N/A","PF3D7_0200400.1"
"PF3D7_0200500","rifin","IDA","PMID:25751816","N/A","PF3D7_0200500.1"
"PF3D7_0200600","rifin","IDA","PMID:25751816","N/A","PF3D7_0200600.1"
"PF3D7_0200700","rifin","IDA","PMID:25751816","N/A","PF3D7_0200700.1"
"PF3D7_0200900","stevor, pseudogene","ISM","N/A","InterPro:IPR006374","PF3D7_0200900.1"
"PF3D7_0201000","rifin","IDA","PMID:10430943","N/A","PF3D7_0201000.1"
"PF3D7_0201200","rifin","IDA","PMID:25751816","N/A","PF3D7_0201200.1"
"PF3D7_0201300","stevor","N/A","N/A","N/A","PF3D7_0201300.1"
"PF3D7_0221400","stevor","N/A","N/A","N/A","PF3D7_0221400.1"
"PF3D7_0222400","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0222400.1"
"PF3D7_0222500","rifin","IDA","PMID:10430943","N/A","PF3D7_0222500.1"
"PF3D7_0222600","rifin","IDA","PMID:25751816","N/A","PF3D7_0222600.1"
"PF3D7_0222700","rifin","IDA","PMID:10430943","N/A","PF3D7_0222700.1"
"PF3D7_0222800","stevor","N/A","N/A","N/A","PF3D7_0222800.1"
"PF3D7_0223100","rifin","IDA","PMID:25751816","N/A","PF3D7_0223100.1"
"PF3D7_0223200","rifin","IDA","PMID:10430943","N/A","PF3D7_0223200.1"
"PF3D7_0223400","rifin","IDA","PMID:25751816","N/A","PF3D7_0223400.1"
"PF3D7_0300200","rifin","IDA","PMID:25751816","N/A","PF3D7_0300200.1"
"PF3D7_0300400","stevor","IDA","PMID:31363031","N/A","PF3D7_0300400.1"
"PF3D7_0300500","rifin","IDA","PMID:10430943","N/A","PF3D7_0300500.1"
"PF3D7_0300700","rifin","IDA","PMID:25751816","N/A","PF3D7_0300700.1"
"PF3D7_0300800","rifin","IDA","PMID:25751816","N/A","PF3D7_0300800.1"
"PF3D7_0300900","stevor","ISM","N/A","Pfam:PF17410","PF3D7_0300900.1"
"PF3D7_0324400","rifin","IDA","PMID:25751816","N/A","PF3D7_0324400.1"
"PF3D7_0324500","rifin","IDA","PMID:10562315","N/A","PF3D7_0324500.1"
"PF3D7_0324600","stevor","IDA","PMID:31363031","N/A","PF3D7_0324600.1"
"PF3D7_0324800","rifin","IDA","PMID:25751816","N/A","PF3D7_0324800.1"
"PF3D7_0400300","rifin","IDA","PMID:25751816","N/A","PF3D7_0400300.1"
"PF3D7_0400500","rifin","IDA","PMID:25751816","N/A","PF3D7_0400500.1"
"PF3D7_0400700","rifin","IDA","PMID:25751816","N/A","PF3D7_0400700.1"
"PF3D7_0400800","stevor","N/A","N/A","N/A","PF3D7_0400800.1"
"PF3D7_0400900","rifin","IDA","PMID:25751816","N/A","PF3D7_0400900.1"
"PF3D7_0401000","rifin","IDA","PMID:10430943","N/A","PF3D7_0401000.1"
"PF3D7_0401200","rifin","IDA","PMID:25751816","N/A","PF3D7_0401200.1"
"PF3D7_0401300","rifin","IDA","PMID:25751816","N/A","PF3D7_0401300.1"
"PF3D7_0401400","rifin","IDA","PMID:25751816","N/A","PF3D7_0401400.1"
"PF3D7_0401500","stevor, pseudogene","N/A","N/A","N/A","PF3D7_0401500.1"
"PF3D7_0401600","rifin","N/A","N/A","N/A","PF3D7_0401600.1, PF3D7_0401600.2"
"PF3D7_0402500","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0402500.1"
"PF3D7_0402600","stevor","N/A","N/A","N/A","PF3D7_0402600.1"
"PF3D7_0402700","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0402700.1"
"PF3D7_0412600","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0412600.1"
"PF3D7_0413200","rifin","IDA","PMID:25751816","N/A","PF3D7_0413200.1"
"PF3D7_0413300","rifin","IDA","PMID:25751816","N/A","PF3D7_0413300.1"
"PF3D7_0421200","rifin","IDA","PMID:10430943","N/A","PF3D7_0421200.1"
"PF3D7_0421500","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0421500.1"
"PF3D7_0425500","stevor","N/A","N/A","N/A","PF3D7_0425500.1"
"PF3D7_0425600","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0425600.1"
"PF3D7_0425700","rifin","IDA","PMID:25751816","N/A","PF3D7_0425700.1"
"PF3D7_0425900","rifin","IDA","PMID:25751816","N/A","PF3D7_0425900.1"
"PF3D7_0500300","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0500300.1"
"PF3D7_0500400","rifin","IDA","PMID:25751816","N/A","PF3D7_0500400.1"
"PF3D7_0500500","rifin","IDA","PMID:25751816","N/A","PF3D7_0500500.1"
"PF3D7_0500600","stevor, pseudogene","ISM","N/A","InterPro:IPR006374","PF3D7_0500600.1"
"PF3D7_0500700","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0500700.1"
"PF3D7_0532800","stevor, pseudogene","N/A","N/A","N/A","PF3D7_0532800.1"
"PF3D7_0532900","rifin","IDA","PMID:25751816","N/A","PF3D7_0532900.1"
"PF3D7_0533000","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0533000.1"
"PF3D7_0600300","rifin","IDA","PMID:25751816","N/A","PF3D7_0600300.1"
"PF3D7_0600500","rifin","IDA","PMID:25751816","N/A","PF3D7_0600500.1"
"PF3D7_0600700","rifin","IDA","PMID:25751816","N/A","PF3D7_0600700.1"
"PF3D7_0600800","rifin, pseudogene","RCA","PMID:18197962","N/A","PF3D7_0600800.1"
"PF3D7_0600900","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0600900.1"
"PF3D7_0617500","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0617500.1"
"PF3D7_0617600","stevor","IDA","PMID:31363031","N/A","PF3D7_0617600.1"
"PF3D7_0617700","rifin","IDA","PMID:25751816","N/A","PF3D7_0617700.1"
"PF3D7_0631700","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0631700.1"
"PF3D7_0631800","rifin","IDA","PMID:10430943","N/A","PF3D7_0631800.1"
"PF3D7_0631900","stevor","IDA","PMID:31363031","N/A","PF3D7_0631900.1"
"PF3D7_0632000","rifin","IDA","PMID:25751816","N/A","PF3D7_0632000.1"
"PF3D7_0632100","rifin","IDA","PMID:25751816","N/A","PF3D7_0632100.1"
"PF3D7_0632200","rifin","IDA","PMID:25751816","N/A","PF3D7_0632200.1"
"PF3D7_0632300","rifin","IDA","PMID:10430943","N/A","PF3D7_0632300.1"
"PF3D7_0632400","rifin","IDA","PMID:25751816","N/A","PF3D7_0632400.1"
"PF3D7_0632500","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0632500.1"
"PF3D7_0632600","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0632600.1"
"PF3D7_0632700","rifin","IDA","PMID:25751816","N/A","PF3D7_0632700.1"
"PF3D7_0700200","rifin","IDA","PMID:25751816","N/A","PF3D7_0700200.1"
"PF3D7_0700300","rifin","IDA","PMID:25751816","N/A","PF3D7_0700300.1"
"PF3D7_0700400","stevor","ISM","N/A","InterPro:IPR006374","PF3D7_0700400.1"
"PF3D7_0700500","rifin","IDA","PMID:25751816","N/A","PF3D7_0700500.1"
"PF3D7_0700700","stevor, pseudogene","N/A","N/A","N/A","PF3D7_0700700.1"
"PF3D7_0701100","rifin","IDA","PMID:25751816","N/A","PF3D7_0701100.1"
"PF3D7_0701200","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0701200.1"
"PF3D7_0701300","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0701300.1"
"PF3D7_0701800","rifin","IDA","PMID:25751816","N/A","PF3D7_0701800.1"
"PF3D7_0711900","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0711900.1"
"PF3D7_0712200","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0712200.1"
"PF3D7_0712500","rifin, pseudogene","ISS","N/A","GeneDB:PF3D7_0413200|GeneDB:PF3D7_0808800","PF3D7_0712500.1"
"PF3D7_0713000","rifin","IDA","PMID:25751816","N/A","PF3D7_0713000.1"
"PF3D7_0731900","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0731900.1"
"PF3D7_0732000","stevor","N/A","N/A","N/A","PF3D7_0732000.1"
"PF3D7_0732200","rifin","IDA","PMID:25751816","N/A","PF3D7_0732200.1"
"PF3D7_0732300","rifin","IDA","PMID:25751816","N/A","PF3D7_0732300.1"
"PF3D7_0732400","rifin","IDA","PMID:25751816","N/A","PF3D7_0732400.1"
"PF3D7_0732500","rifin","IDA","PMID:25751816","N/A","PF3D7_0732500.1"
"PF3D7_0732700","rifin","IDA","PMID:10430943","N/A","PF3D7_0732700.1"
"PF3D7_0732900","rifin","IDA","PMID:25751816","N/A","PF3D7_0732900.1"
"PF3D7_0800400","rifin","IDA","PMID:25751816","N/A","PF3D7_0800400.1"
"PF3D7_0800500","rifin","IDA","PMID:25751816","N/A","PF3D7_0800500.1"
"PF3D7_0808800","rifin","IDA","PMID:25751816","N/A","PF3D7_0808800.1"
"PF3D7_0808900","rifin","IDA","PMID:25751816","N/A","PF3D7_0808900.1"
"PF3D7_0832000","stevor","N/A","N/A","N/A","PF3D7_0832000.1"
"PF3D7_0832100","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0832100.1"
"PF3D7_0832400","stevor","N/A","N/A","N/A","PF3D7_0832400.1"
"PF3D7_0832500","rifin","IDA","PMID:25751816","N/A","PF3D7_0832500.1"
"PF3D7_0832600","stevor","N/A","N/A","N/A","PF3D7_0832600.1"
"PF3D7_0832800","rifin","N/A","N/A","N/A","PF3D7_0832800.1"
"PF3D7_0832900","stevor","N/A","N/A","N/A","PF3D7_0832900.1"
"PF3D7_0833000","rifin","IDA","PMID:25751816","N/A","PF3D7_0833000.1"
"PF3D7_0833100","rifin","IDA","PMID:25751816","N/A","PF3D7_0833100.1"
"PF3D7_0833200","rifin","N/A","N/A","N/A","PF3D7_0833200.1"
"PF3D7_0833400","rifin","IDA","PMID:25751816","N/A","PF3D7_0833400.1"
"PF3D7_0900200","rifin","IDA","PMID:25751816","N/A","PF3D7_0900200.1"
"PF3D7_0900300","rifin","IDA","PMID:10430943","N/A","PF3D7_0900300.1"
"PF3D7_0900400","rifin","IDA","PMID:25751816","N/A","PF3D7_0900400.1"
"PF3D7_0900500","rifin","IDA","PMID:10430943","N/A","PF3D7_0900500.1"
"PF3D7_0900600","rifin","IDA","PMID:25751816","N/A","PF3D7_0900600.1"
"PF3D7_0900700","rifin","IDA","PMID:25751816","N/A","PF3D7_0900700.1"
"PF3D7_0900900","stevor","N/A","N/A","N/A","PF3D7_0900900.1"
"PF3D7_0901000","rifin","IDA","PMID:10430943","N/A","PF3D7_0901000.1"
"PF3D7_0901100","rifin","IDA","PMID:25751816","N/A","PF3D7_0901100.1"
"PF3D7_0901300","rifin","IDA","PMID:25751816","N/A","PF3D7_0901300.1"
"PF3D7_0901400","rifin","IDA","PMID:25751816","N/A","PF3D7_0901400.1"
"PF3D7_0901500","rifin","IDA","PMID:25751816","N/A","PF3D7_0901500.1"
"PF3D7_0901600","stevor","N/A","N/A","N/A","PF3D7_0901600.1"
"PF3D7_0937300","rifin","IDA","PMID:25751816","N/A","PF3D7_0937300.1"
"PF3D7_0937400","rifin","IDA","PMID:10430943","N/A","PF3D7_0937400.1"
"PF3D7_0937500","rifin","IDA","PMID:25751816","N/A","PF3D7_0937500.1"
"PF3D7_0937700","rifin","IDA","PMID:25751816","N/A","PF3D7_0937700.1"
"PF3D7_1000200","rifin","IDA","PMID:25751816","N/A","PF3D7_1000200.1"
"PF3D7_1000300","rifin","IDA","PMID:10430943","N/A","PF3D7_1000300.1"
"PF3D7_1000400","rifin","IDA","PMID:25751816","N/A","PF3D7_1000400.1"
"PF3D7_1000500","rifin","IDA","PMID:25751816","N/A","PF3D7_1000500.1"
"PF3D7_1000600","rifin","IDA","PMID:10430943","N/A","PF3D7_1000600.1"
"PF3D7_1000800","stevor, pseudogene","N/A","N/A","N/A","PF3D7_1000800.1"
"PF3D7_1040000","rifin","IDA","PMID:25751816","N/A","PF3D7_1040000.1"
"PF3D7_1040100","rifin","IDA","PMID:10430943","N/A","PF3D7_1040100.1"
"PF3D7_1040200","stevor","IDA","PMID:31363031","N/A","PF3D7_1040200.1"
"PF3D7_1040300","rifin","IDA","PMID:25751816","N/A","PF3D7_1040300.1"
"PF3D7_1040400","rifin","IDA","PMID:10430943","N/A","PF3D7_1040400.1"
"PF3D7_1040500","rifin","IDA","PMID:25751816","N/A","PF3D7_1040500.1"
"PF3D7_1040600","rifin","IDA","PMID:10430943","N/A","PF3D7_1040600.1"
"PF3D7_1040700","rifin","IDA","PMID:25751816","N/A","PF3D7_1040700.1"
"PF3D7_1040800","rifin","IDA","PMID:10430943","N/A","PF3D7_1040800.1"
"PF3D7_1040900","rifin","IDA","PMID:10430943","N/A","PF3D7_1040900.1"
"PF3D7_1041000","rifin","IDA","PMID:25751816","N/A","PF3D7_1041000.1"
"PF3D7_1041100","rifin","IDA","PMID:10430943","N/A","PF3D7_1041100.1"
"PF3D7_1041200","rifin","IDA","PMID:25751816","N/A","PF3D7_1041200.1"
"PF3D7_1100300","rifin","IDA","PMID:25751816","N/A","PF3D7_1100300.1"
"PF3D7_1100400","rifin","IDA","PMID:10430943","N/A","PF3D7_1100400.1"
"PF3D7_1100500","rifin","IDA","PMID:25751816","N/A","PF3D7_1100500.1"
"PF3D7_1100700","stevor, pseudogene","ISS","N/A","GeneDB:PF3D7_0832600","PF3D7_1100700.1"
"PF3D7_1101100","rifin","IDA","PMID:25751816","N/A","PF3D7_1101100.1"
"PF3D7_1101200","rifin","IDA","PMID:10430943","N/A","PF3D7_1101200.1"
"PF3D7_1101300","rifin","IDA","PMID:25751816","N/A","PF3D7_1101300.1"
"PF3D7_1101400","rifin, pseudogene","ISS","N/A","GeneDB:PF3D7_1040000","PF3D7_1101400.1"
"PF3D7_1149800","rifin","IDA","PMID:10430943","N/A","PF3D7_1149800.1"
"PF3D7_1149900","stevor","N/A","N/A","N/A","PF3D7_1149900.1"
"PF3D7_1150000","rifin","IDA","PMID:25751816","N/A","PF3D7_1150000.1"
"PF3D7_1150100","rifin, pseudogene","N/A","N/A","N/A","PF3D7_1150100.1"
"PF3D7_1150200","rifin","IDA","PMID:25751816","N/A","PF3D7_1150200.1"
"PF3D7_1150300","rifin","IDA","PMID:25751816","N/A","PF3D7_1150300.1"
"PF3D7_1200200","rifin","IDA","PMID:25751816","N/A","PF3D7_1200200.1"
"PF3D7_1200300","rifin","IDA","PMID:10430943","N/A","PF3D7_1200300.1"
"PF3D7_1200500","rifin","IDA","PMID:25751816","N/A","PF3D7_1200500.1"
"PF3D7_1219200","rifin, pseudogene","N/A","N/A","N/A","PF3D7_1219200.1"
"PF3D7_1240700","rifin, pseudogene","N/A","N/A","N/A","PF3D7_1240700.1"
"PF3D7_1253500","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1253500.1"
"PF3D7_1253600","rifin, pseudogene","N/A","N/A","N/A","PF3D7_1253600.1"
"PF3D7_1253700","rifin","IDA","PMID:25751816","N/A","PF3D7_1253700.1"
"PF3D7_1254000","rifin","IDA","PMID:10430943","N/A","PF3D7_1254000.1"
"PF3D7_1254100","stevor","IDA","PMID:31363031","N/A","PF3D7_1254100.1"
"PF3D7_1254200","rifin","IDA","PMID:25751816","N/A","PF3D7_1254200.1"
"PF3D7_1254300","stevor","N/A","N/A","N/A","PF3D7_1254300.1"
"PF3D7_1254400","rifin","IDA","PMID:25751816","N/A","PF3D7_1254400.1"
"PF3D7_1254500","rifin","IDA","PMID:10430943","N/A","PF3D7_1254500.1"
"PF3D7_1254600","stevor","N/A","N/A","N/A","PF3D7_1254600.1"
"PF3D7_1254700","rifin","IDA","PMID:25751816","N/A","PF3D7_1254700.1"
"PF3D7_1254800","rifin","IDA","PMID:25751816","N/A","PF3D7_1254800.1"
"PF3D7_1255000","rifin","IDA","PMID:10430943","N/A","PF3D7_1255000.1"
"PF3D7_1255100","rifin","IDA","PMID:25751816","N/A","PF3D7_1255100.1"
"PF3D7_1300200","rifin","IDA","PMID:25751816","N/A","PF3D7_1300200.1"
"PF3D7_1300400","rifin","IDA","PMID:25751816","N/A","PF3D7_1300400.1"
"PF3D7_1300500","rifin","IDA","PMID:25751816","N/A","PF3D7_1300500.1"
"PF3D7_1300600","rifin","IDA","PMID:10430943","N/A","PF3D7_1300600.1"
"PF3D7_1300700","rifin","IDA","PMID:25751816","N/A","PF3D7_1300700.1"
"PF3D7_1300900","stevor","N/A","N/A","N/A","PF3D7_1300900.1"
"PF3D7_1301000","rifin, pseudogene","N/A","N/A","N/A","PF3D7_1301000.1"
"PF3D7_1372500","stevor, pseudogene","N/A","N/A","N/A","PF3D7_1372500.1"
"PF3D7_1372600","rifin","IDA","PMID:10430943","N/A","PF3D7_1372600.1"
"PF3D7_1372700","rifin","IDA","PMID:25751816","N/A","PF3D7_1372700.1"
"PF3D7_1372800","stevor","N/A","N/A","N/A","PF3D7_1372800.1"
"PF3D7_1373000","rifin","IDA","PMID:25751816","N/A","PF3D7_1373000.1"
"PF3D7_1373100","rifin","IDA","PMID:25751816","N/A","PF3D7_1373100.1"
"PF3D7_1373300","rifin","IDA","PMID:10430943","N/A","PF3D7_1373300.1"
"PF3D7_1373400","rifin","IDA","PMID:25751816","N/A","PF3D7_1373400.1"
"PF3D7_1400200","rifin","IDA","PMID:25751816","N/A","PF3D7_1400200.1"
"PF3D7_1400300","rifin","IDA","PMID:10430943","N/A","PF3D7_1400300.1"
"PF3D7_1400400","rifin","IDA","PMID:25751816","N/A","PF3D7_1400400.1"
"PF3D7_1400500","rifin","IDA","PMID:10430943","N/A","PF3D7_1400500.1"
"PF3D7_1400600","rifin","IDA","PMID:25751816","N/A","PF3D7_1400600.1"
"PF3D7_1400700","stevor","N/A","N/A","N/A","PF3D7_1400700.1"
"PF3D7_1400800","rifin","IDA","PMID:10430943","N/A","PF3D7_1400800.1"
"PF3D7_1479100","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1479100.1"
"PF3D7_1479400","rifin","IDA","PMID:10430943","N/A","PF3D7_1479400.1"
"PF3D7_1479500","stevor","N/A","N/A","N/A","PF3D7_1479500.1"
"PF3D7_1479600","rifin","IDA","PMID:10430943","N/A","PF3D7_1479600.1"
"PF3D7_1479700","rifin","IDA","PMID:25751816","N/A","PF3D7_1479700.1"
"PF3D7_1479800","rifin","IDA","PMID:10430943","N/A","PF3D7_1479800.1"
"PF3D7_1479900","stevor","N/A","N/A","N/A","PF3D7_1479900.1"
"PF3D7_1480000","rifin","IDA","PMID:25751816","N/A","PF3D7_1480000.1"
